word_english,word_hebrew,description_en
addition,תוספת,the action or process of adding something to something else.
advance,קידום,"move forward, typically in a purposeful way."
advanced,מתקדם,far on or ahead in development or progress.
advertising,פרסום,the activity or profession of producing advertisements for commercial products or services.
among other things,בין היתר,including other things in addition to those mentioned.
analysis,ניתוח,detailed examination of the elements or structure of something.
appear,להופיע,come into sight; become visible or noticeable.
approach,גישה,a way of dealing with something.
as,כמו,used to indicate the function or character that someone or something has.
at least,לפחות,not less than; at the minimum.
average,ממוצע,a number expressing the central or typical value in a set of data.
be responsible for something/doing something,להיות אחראי על,"having an obligation to do something, or having control over or care for someone, as part of one's job or role."
before,לפני,during the period of time preceding (a particular event or time).
besides,בנוסף,in addition; apart from.
can,יכול,used to indicate possibility or ability.
challenge,אתגר,a task or situation that tests someone's abilities.
chance,הזדמנות,a possibility of something happening.
change,שינוי,the act or instance of making or becoming different.
characteristic,תכונה,"a feature or quality belonging typically to a person, place, or thing and serving to identify it."
claim,טענה,"state or assert that something is the case, typically without providing evidence or proof."
"come after/first/last, etc","לבוא אחרי/ראשון/אחרון, וכו'",occur or follow after a particular event or time.
common,נפוץ,"occurring, found, or done often; prevalent."
complicated,מורכב,consisting of many interconnecting parts or elements.
concern,דאגה,a matter of interest or importance to someone.
conditions,תנאים,the circumstances or factors affecting the way people live or work.
conduct,להתנהג,"the manner in which a person behaves, especially in a particular place or situation."
consequence,תוצאה,a result or effect of an action or condition.
considerable,משמעותי,"notably large in size, amount, or extent."
cope,להתמודד,deal effectively with something difficult.
critic,מבקר,a person who expresses an unfavorable opinion of something.
current,נוכחי,belonging to the present time; happening or being used or done now.
decrease,הפחתה,"make or become smaller or fewer in size, amount, intensity, or degree."
delayed,מאוחר,happening or done later than expected or intended.
deliberately,בכוונה,consciously and intentionally; on purpose.
demonstrate,להדגיש,clearly show the existence or truth of something by giving proof or evidence.
design,עיצוב,"a plan or drawing produced to show the look and function or workings of a building, garment, or other object before it is built or made."
destruction,השמדה,the action or process of causing so much damage to something that it no longer exists or cannot be repaired.
development,פיתוח,the process of developing or being developed.
disagreement,התנגדות,lack of consensus or approval.
disaster,אסון,"a sudden event, such as an accident or a natural catastrophe, that causes great damage or loss of life."
discovery,גילוי,the act of finding or learning something for the first time.
dislike,אי-אהבה,a feeling of distaste or hostility.
do,לעשות,perform an action or activity.
doubt,ספק,a feeling of uncertainty or lack of conviction.
